HITId,AssignmentId,AnonymizedWorkerId,storageLink,video_id,video_id_paper,topic,channelTitle,alignment_video,alignment_topic,accuracy_before,trustworthiness_before,usefulness_video_before,confidence_video_before,comments,coded_comments,coded_comments_themes,coded_comments_observations
36QZ6V159CJ8DNWZVQ4RAQTJG10SUY,308Q0PEVBCJNM13TI5LOZCV7KAII9R,U27,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,4,4,4,4,1,4,,,,
3GVPRXWRQK0HLYH7D6H2WW9C0WM7ID,308Q0PEVBCJNM13TI5LOZCV7LY79IK,U12,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/GzvfpyyZO9o.mp4,GzvfpyyZO9o,V1,Vaccination,Vox,4,4,4,4,1,4,,,,
3DIIW4IV9S1K2BZOB8JVTKP29S7I4B,30BUDKLTXH1S59ZVJWIG2HSD7YFE51,U61,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,3,3,3,4,1,4,The video does a good job presenting the opinions of those featured in it,relevant,informative video,
3NSCTNUR32TNSCKQDPASHE7XWIMA5X,30IQTZXKAOC2G24BHV2W9BHT67MX01,U38,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,3,4,5,5,-1,4,As a person who family works for forgien trade it fide tarrifts bad but I understand them being good for the over all,relevant,personal opinion on the topic,
3Y40HMYLM4OG94IYP0AE9YABWIZUXA,30MVJZJNHQJJHCNZ0N6OBDA7Y2TJ9H,U61,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,5,4,5,5,1,5,The video is informative and persuasive,relevant,informative video,informative
31MBOZ6PBRXPNGK9PQMQ4YTIIB7CLP,30OG32W0SYHWVY51NWE2WYSZYUHENF,U14,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,5,4,5,5,1,5,,,,
3K3G488TS5EFFSR72L7E7EM2ZWMQ5P,30X31N5D67WQLYGUFNT2Z9CEZOOAS8,U48,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/GzvfpyyZO9o.mp4,GzvfpyyZO9o,V1,Vaccination,Vox,2,4,1,2,-1,4,,,,
3YCT0L9ONPFVIXCQYPS5WV1P857NS1,3180JW2OT8I0GPLNXXT7ZX55BRCJ5X,U13,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/CGYzH8nEZr0.mp4,CGYzH8nEZr0,CI2,Catalonia Independence,BBC News,4,2,4,4,1,4,Nice to see real people instead of shills,relevant,speakers in the video,
3PMR2DOWPR78QN494O014BLX48Q54H,3180JW2OT8I0GPLNXXT7ZX55CHIJ5K,U43,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/CGYzH8nEZr0.mp4,CGYzH8nEZr0,CI2,Catalonia Independence,BBC News,3,3,3,4,1,4,hearing actual Catalonians is helpful.,relevant,"personal opinion, useful video",
31MBOZ6PBRXPNGK9PQMQ4YTIIB7CLP,31EUONYN2Z9VFURZJ13PBRGQOZLOV6,U55,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,5,4,5,5,1,4,The video is accurate and contains useful information on the topic. It is a good and reliable summary of the issue with lots of key facts.,relevant,"accurate, useful video",
38RHULDVA1LWBDI8LEPEOC8TSJ9IWV,31HQ4X3T3WG7HH7YCEIS8NSPT0KLSY,U7,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,5,4,5,5,1,5,,,,
3GMLHYZ0MH359988UWWGSCHKYOTUYG,31JLPPHS2Y0B3LPGZRXJSWO7X3QO3J,U49,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,4,1,4,4,1,4,,,,
3SSN80MU9FU268DMVM6C3B1DTP4KX1,31N2WW6R9VWHX8CN0OET52FT4O9F35,U40,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,1,4,1,1,-1,4,"I was shocked when they said vaccines. Was super dramatic. I quickly realzed it was a joke, pretty funny. I got confused by the end, what is happening. The gun thing at the end was pretty hilarious.",relevant,satirical video,
3087LXLJ7PMJTWFXRZQ8EKMXCQOF0U,31Q0U3WYDTL88CJ2V12YTHNF96971F,U52,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,3,2,4,4,1,4,,,,
3LN50BUKQYH8H5TDUV8WOYSPHSXPLN,31T4R4OBOWMSVFT0BYRIAD66DRX7CE,U1,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,3,4,3,2,-1,5,I like this video but I don't think that most people are smart enough to see that this is satire - especially anti-vaxers,relevant,"satirical video, alignment with the video",satire
3YCT0L9ONPFVIXCQYPS5WV1P857NS1,320DUZ38GBSYWMA7ETCY3UWU11HJG8,U47,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/CGYzH8nEZr0.mp4,CGYzH8nEZr0,CI2,Catalonia Independence,BBC News,3,2,4,5,1,4,It was an informative video about the catalona independence but there was not a lot of details.,relevant,informative video,informative
3GMLHYZ0MH359988UWWGSCHKYOTUYG,320DUZ38GBSYWMA7ETCY3UWU2H7JGV,U21,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,3,2,3,4,-1,2,,,,
3MA5N0ATUFHNH88WLHAQ1SN6KNYKW8,32EYX73OY4FYZSUF63AO90JCKQRURC,U47,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,3,2,4,4,-1,4,This video was mainly news reporting about an event instead of an informative video.,relevant,video not informative,
3PR3LXCWTI5IPCUVRPFND2NXJXPX9M,32EYX73OY4FYZSUF63AO90JCL6FURX,U65,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,3,3,4,4,1,4,GIVES PERTINENT FACTS ABOUT TRADE BETWEEN UK AND THE EU.,relevant,factual video,facts
3PEG1BH7BHXVT5ALQQEUEEALBODKBU,32M8BPYGAXS21BQ1WBRYRTHUP2FIGF,U65,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/TsWNc9BusJ4.mp4,TsWNc9BusJ4,FT3,Free Trade,BBC News,4,3,4,4,1,4,GIVES USEFUL INFO ON THE TOPIC. UNDERSTANDABLE,relevant,useful video,useful
3LN50BUKQYH8H5TDUV8WOYSPHSXPLN,32M8BPYGAXS21BQ1WBRYRTHUP2JIGJ,U21,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,1,3,1,1,0,4,,,,
38RHULDVA1LWBDI8LEPEOC8TSJ9IWV,32Q90QCQ1WRVNSKYQJMM46BV3BFEK0,U20,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,3,3,3,3,1,3,"Because this is a new subject to me I don't have strong beliefs on this issue. But from what I am hearing here, I would say that Catalonia would be better off breaking away from Spain.",relevant,opinion on the topic,opinion on topic
3MA5N0ATUFHNH88WLHAQ1SN6KNYKW8,32Q90QCQ1WRVNSKYQJMM46BV3BNEK8,U27,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,5,4,5,5,1,5,,,,
3PEG1BH7BHXVT5ALQQEUEEALBODKBU,32RIADZISWABJ90D6MJBM6QE8VFS41,U21,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/TsWNc9BusJ4.mp4,TsWNc9BusJ4,FT3,Free Trade,BBC News,3,2,4,4,1,5,,,,
38RHULDVA1LWBDI8LEPEOC8TSJ9IWV,32SCWG5HILASL4OZXT8WOZ5HGLMP6C,U16,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,2,1,3,2,-1,2,"I don't really trust RT, since I believe that is Russia Today, which is operated by the Russian government. I am not 100% sure of their editorial independence, but I'm also not sure what kind of interests they might have in Spain.",relevant,opinion on the video channel,channel
3DIIW4IV9S1K2BZOB8JVTKP29S7I4B,32SVAV9L3JFM1HVFP8S1R1428OGA34,U49,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,3,1,5,5,1,5,,,,
3CMIQF80HQWBYWRL74HJZK02VRXQ65,32Z9ZLUT1PQQXTWFECMLWQPHFUBOH0,U7,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,1,2,1,1,-1,5,,,,
31MBOZ6PBRXPNGK9PQMQ4YTIIB7CLP,32ZKVD547JTRKR07VMSXMCO8QGA3BL,U12,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,4,4,4,4,1,4,,,,
36QZ6V159CJ8DNWZVQ4RAQTJG10SUY,333U7HK6IDLVK20GC3BQX9TXO92DJT,U47,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,2,4,4,5,1,4,It was informative video about brexit.,relevant,informative video,
3NSCTNUR32TNSCKQDPASHE7XWIMA5X,333U7HK6IDLVK20GC3BQX9TXPYFJDR,U22,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,3,2,4,4,1,4,,,,
36QZ6V159CJ8DNWZVQ4RAQTJG10SUY,336KAV9KYUYYCHXZ1ESCBDHH4RQY2D,U44,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,3,2,3,4,1,5,"While the video contains some interesting information, it would be helpful to know more about her political views, since she is from England and not someone we see on tv very often. I know who she is, May, but it is also important to know her views on free trade before giving my opinion of it is trustworthy or not.",relevant,"interesting video, more views are needed",opinion on topic
3HA5ODM5LDY8Q2LZ0GEW6CV2U89SVN,338JKRMM2A51VP2E4TH3VV5CQD7HAU,U13,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,1,5,1,1,-1,4,The doc is totally untrustworthy and the video is misleading.,relevant,untrustworthy and misleading video,
3MA5N0ATUFHNH88WLHAQ1SN6KNYKW8,33CKWXB73NQUXQ406LLPS7W25U011M,U30,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,5,5,4,4,1,5,,,,
3K3G488TS5EFFSR72L7E7EM2ZWMQ5P,33CKWXB73NQUXQ406LLPS7W25V511T,U63,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/GzvfpyyZO9o.mp4,GzvfpyyZO9o,V1,Vaccination,Vox,4,4,5,5,1,5,,,,
3MA5N0ATUFHNH88WLHAQ1SN6KNYKW8,33ISQZVXPTSY7WOW2FZTQZYKDOMCCH,U53,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,2,4,4,4,1,4,Catalonia is being in distaster! It seems that they are trying to stop a vote and having the vote being stopped.,relevant,personal opinion,
3B6F54KMS5IS4Q51T2U7ZOOM66ZS10,33ISQZVXPTSY7WOW2FZTQZYKE41CCT,U15,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,3,3,3,3,0,3,,,,
3IKDQS3DRH6NXFC34NPDCI1Q17DCIB,33LK57MYLXBRM6O2RF91G23N9Z1SZE,U10,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,3,2,5,5,1,4,,,,
3TRB893CTMG3P7BCNIHZBKWWLJU7GL,33NF62TLXN83Y86Q4KXD1MON975JKX,U14,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,4,4,5,4,1,4,,,,
36QZ6V159CJ8DNWZVQ4RAQTJG10SUY,33PPUNGG3CBFLROPCQ9WQSYRM87ZR7,U63,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,5,3,4,5,1,5,She sounds very confident in what she's saying and knowledgable about the topic.,relevant,speaker in the video,speaker in the video
3HA5ODM5LDY8Q2LZ0GEW6CV2U89SVN,345LHZDED1Y6GQ9DVD9SR2GWEBD3UH,U4,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,2,5,3,3,-1,5,"I am an anti vaxer as they call us on Twitter and other social media platforms. Vaccinations do not resonate with me. I got a flu shot a couple of times and both times I developed the flu full course immediately after. when I do not get a flu shot, I do not get sick.",relevant,opinion on the topic,
3TRB893CTMG3P7BCNIHZBKWWLJU7GL,34MAJL3QP8T7ZSFYG7IAEYI2GP634U,U25,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,5,5,5,5,1,5,While it is not always great to make fun of serious matters sometimes it helps to get the point across.,relevant,satirical video,
36QZ6V159CJ8DNWZVQ4RAQTJG10SUY,34PGFRQONSHUT807TYGGPXIIVWFWJ6,U41,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/DIFh9aOJeZ0.mp4,DIFh9aOJeZ0,FT1,Free Trade,Daily Mail,3,3,4,4,-1,4,"This video only shows one side of the issue, so I cannot form an opinion without hearing the other side.",relevant,One-sided video,
3HA5ODM5LDY8Q2LZ0GEW6CV2U89SVN,34Q075JO11JUQ1JIA2HPE2DS03U01K,U47,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,5,5,5,5,1,5,This is a informative video and relatively funny.,relevant,informative video,
3TRB893CTMG3P7BCNIHZBKWWLJU7GL,34Q075JO11JUQ1JIA2HPE2DS1TC01J,U10,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,5,5,5,4,1,5,,,,
3MA5N0ATUFHNH88WLHAQ1SN6KNYKW8,34S6N1K2ZZPIR8TI1K6T49LNKRNLH1,U5,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,4,3,4,5,1,4,,,,
3TRB893CTMG3P7BCNIHZBKWWLJU7GL,34S9DKFK77VU13MSNXQW31KFG6GYN8,U46,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/N3mWF0Fr7RM.mp4,N3mWF0Fr7RM,V3,Vaccination,Nuclear Family,2,5,2,1,-1,5,,,,
3PEG1BH7BHXVT5ALQQEUEEALBODKBU,34S9DKFK77VU13MSNXQW31KFGUENY7,U59,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/TsWNc9BusJ4.mp4,TsWNc9BusJ4,FT3,Free Trade,BBC News,3,4,5,4,1,4,,,,
3NSCTNUR32TNSCKQDPASHE7XWIMA5X,34T446B1C4KED4TGQZ69VYWJ5PQ0CU,U55,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/7mpxbenv6PA.mp4,7mpxbenv6PA,FT2,Free Trade,Brexit Party MEPs,3,3,4,3,-1,3,"The information in the video may be accurate, but it is primarily from one single source, one person's argument or opinion which may be biased, so it is likely not the best or most comprehensive source of information on the topic. It does not provide enough background or general information on the topic.",relevant,One-sided video,One-sided information
3PEG1BH7BHXVT5ALQQEUEEALBODKBU,34YB12FSQ2UOXUGSHQPQJMOB69EGM4,U61,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/TsWNc9BusJ4.mp4,TsWNc9BusJ4,FT3,Free Trade,BBC News,4,5,5,4,1,4,The video was useful for information and i'm a big believer in free trade.,relevant,"useful video, opinion on the topic",
3DIIW4IV9S1K2BZOB8JVTKP29S7I4B,34YB12FSQ2UOXUGSHQPQJMOB6AMMGK,U28,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,3,3,4,4,1,5,The video is very clear and they explain very well how some people feel about independence in Catalan.,relevant,informative video,informative
3IKDQS3DRH6NXFC34NPDCI1Q17DCIB,34YB12FSQ2UOXUGSHQPQJMOB6KNGMZ,U12,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EvhvMgcJ6M8.mp4,EvhvMgcJ6M8,CI1,Catalonia Independence,CNN,3,3,3,3,0,3,,,,
3K3G488TS5EFFSR72L7E7EM2ZWMQ5P,351SEKWQS4NLLA61F0OID1LES4GMDR,U27,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/GzvfpyyZO9o.mp4,GzvfpyyZO9o,V1,Vaccination,Vox,5,5,5,5,1,5,,,,
3WYZV0QBGMJ1D59SP9TJ48IN7XSXBW,358UUM7WR39W1HIJTVHDZ85SDSY7RI,U59,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/CGYzH8nEZr0.mp4,CGYzH8nEZr0,CI2,Catalonia Independence,BBC News,3,1,3,4,1,3,,,,
3K3G488TS5EFFSR72L7E7EM2ZWMQ5P,35L9RVQFCSOLAYGCAYYUVWH6XGVUHF,U53,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/GzvfpyyZO9o.mp4,GzvfpyyZO9o,V1,Vaccination,Vox,4,4,5,5,1,5,There was a lot of clear cut information in the video. I can see and agree with a lot of points in the video. The overall information in the video is really good and thought out well.,relevant,informative video,
3IVKZBIBK3F381QFVRXSRB4TNXKHSH,35L9RVQFCSOLAYGCAYYUVWH6Y61UH2,U12,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/TsWNc9BusJ4.mp4,TsWNc9BusJ4,FT3,Free Trade,BBC News,3,3,3,4,-1,4,,,,
38RHULDVA1LWBDI8LEPEOC8TSJ9IWV,35LDD5557EATZGCB7HA5HEG4CDIMK9,U5,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/EZJGDCx5Nas.mp4,EZJGDCx5Nas,CI3,Catalonia Independence,RT,4,4,4,5,1,4,"I've seen 3 videos now about Catalonia.  I was not at all informed about this topic, but I've become really interested, just from working on these hits.",relevant,lack of knowledge,
3YCT0L9ONPFVIXCQYPS5WV1P857NS1,35USIKEBNVMSIJCMHEV4KA0MHIYN6G,U19,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/CGYzH8nEZr0.mp4,CGYzH8nEZr0,CI2,Catalonia Independence,BBC News,4,4,4,4,1,4,"They seam to be a very nice kind of people. I would love to travel there. I think their accents are awesome! even though they identify as different people, they have different views, they seam to be respectful of each other. .",relevant,personal opinion,
31MBOZ6PBRXPNGK9PQMQ4YTIIB7CLP,369J354OFHGM8RV0UAI9UQRPGKA6GH,U40,[PLACEHOLDER_VIDEO_STORAGE_LOCATION]/z23VDaHcW8k.mp4,z23VDaHcW8k,V2,Vaccination,Grandayy,5,5,5,3,1,3,"THe pictures definitely lost credibility. I get that he was trying to be funny, which I felt like he could have done without make this entire video a joke. I made me not focus on what he was actualyl saying.",relevant,"video not credible, parody",parody
